date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201203,NH,22925,,408102,,totalTestsViral,838700,156,844,,279,,,18039,B,12/3/2020 09:00,2020-12-03T09:00:00Z,12/03 04:00,544,844,2020-12-03T09:00:00Z,838700,,,22925,,,,431027,34318,,,33405,,,,4360,,,33,593,2618,431027,7051,431027,7,2,8087304175f3505c2b90957676d19f1e77f18559,0,0,0,0,0,
20201203,NJ,350999,,5825837,,posNeg,6176836,3292,41987,610,,366,,44777,A,12/3/2020 00:00,2020-12-03T00:00:00Z,12/02 19:00,17209,41987,2020-12-03T00:00:00Z,6176836,,,350999,15373,1836,,,,,,,,,,,,,34,4793,38456,6176836,43249,6176836,64,242,698b0b0965cd6f743b749cd2a0e360ec7a17d05c,0,0,0,0,0,
20201203,NM,102862,,1502052,,posNeg,1604914,947,7078,,,,,35179,A,12/3/2020 18:03,2020-12-03T18:03:00Z,12/03 13:03,1673,7078,2020-12-03T18:03:00Z,1604914,,,102862,,,,,,,,,,,,,,,35,1899,10793,1604914,12692,1604914,44,59,d2e2c0064ec17f8c6e20737ed6f42a25fd98bb2e,0,0,0,0,0,
20201203,NV,159532,,839656,,totalTestEncountersViral,1682758,1645,,373,,215,,,A,12/3/2020 00:00,2020-12-03T00:00:00Z,12/02 19:00,2249,,2020-12-03T00:00:00Z,1154583,,,159532,,,1682758,999188,,,,,,,,,,,32,2536,5225,999188,17759,999188,48,0,2c4be75e69178e4b7c7114ddb1af1a39b311cefc,0,0,0,0,0,
20201203,NY,674093,,19291071,,totalTestEncountersViral,19965164,4063,89995,783,,373,,86201,B,12/2/2020 14:00,2020-12-02T14:00:00Z,12/02 09:00,26955,89995,2020-12-02T14:00:00Z,,,,674093,,,19965164,,,,,,,,,,,,36,9855,193585,19965164,203440,19965164,66,0,d48ea2708cf60abc6ab7e538bc22641c8c19599c,0,0,0,0,0,
20201203,OH,446849,24001,5823939,,posNeg,6270788,5142,28281,1204,4814,708,,298332,A+,12/3/2020 14:00,2020-12-03T14:00:00Z,12/03 09:00,6753,28281,2020-12-03T14:00:00Z,6246787,,,422848,6304,449,,,,,,,,,,,,,39,8921,44123,6270788,53044,6270788,82,396,d5be114e349e91419d117c2c0c429d29a3e6586d,0,0,0,0,0,
20201203,OK,204048,,1957441,8714,posNeg,2161489,1734,12773,474,,,,174169,A+,12/3/2020 00:00,2020-12-03T00:00:00Z,12/02 19:00,1836,12773,2020-12-03T00:00:00Z,2171465,210176,1957441,204048,,,,,97315,6248,,,,,,,,,40,1707,16703,2170203,18410,2161489,24,195,033d5cc37464d2c07848a73344357c45b47cd5c7,0,0,0,0,0,
20201203,OR,79263,3531,969115,,posNeg,1048378,629,4803,122,,52,,5870,A+,12/3/2020 03:01,2020-12-03T03:01:00Z,12/02 22:01,973,4803,2020-12-03T03:01:00Z,2043324,114191,1929133,74629,,,,1043744,,,,,,,,,,,41,1103,0,1048378,1103,1048378,20,58,08c4166585dfcec7e34f933f30ee483bea985f23,0,0,0,0,0,
20201203,PA,386837,28212,2872557,,posNeg,3259394,5071,,1065,,588,,228233,A+,12/3/2020 12:00,2020-12-03T12:00:00Z,12/03 07:00,10944,,2020-12-03T12:00:00Z,5782706,,,358625,,,,3231182,,,,,,,,,,,42,11406,19933,3259394,31339,3259394,187,0,534edef05d9cdc06ffd495a276bd5d83ac7b8c1f,0,0,0,0,0,
20201203,PR,54105,1756,305972,,posNeg,360077,628,,98,,106,,45565,B,12/3/2020 00:00,2020-12-03T00:00:00Z,12/02 19:00,1155,,2020-12-03T00:00:00Z,310546,7002,303412,52349,926,229,,,,41602,,,,,,,,,72,397,0,360077,397,360077,11,0,e93402efa63825eeee4f3062feb57f44f4bd6f16,0,0,0,0,0,
20201203,RI,60722,,480754,,totalTestEncountersViral,1594007,409,4789,45,,31,,3892,A+,12/3/2020 13:00,2020-12-03T13:00:00Z,12/03 08:00,1400,4789,2020-12-03T13:00:00Z,,74263,1519744,60722,,,1594007,541476,,,,,,,,,,,44,1717,2853,541476,19476,541476,9,57,763fb0dbfc5ca5325c13c6a299616506618ec059,0,0,0,0,0,
20201203,SC,223063,14628,2226037,,posNeg,2449100,1046,12126,261,,111,,117338,A+,12/1/2020 23:59,2020-12-01T23:59:00Z,12/01 18:59,4466,12126,2020-12-01T23:59:00Z,2434472,274016,2160456,208435,4145,321,,,91078,11974,79104,,,,,,239293,27153,45,2228,13971,2449100,16199,2449100,22,103,1e17b8be8adbef883bf8cfc1b2adfa05d3403161,0,0,0,0,0,
20201203,SD,83348,6087,251349,,totalTestsPeopleViral,334697,538,4696,109,,63,,66841,A+,12/2/2020 14:00,2020-12-02T14:00:00Z,12/02 09:00,1033,4696,2020-12-02T14:00:00Z,627031,,,77261,,,,334697,,,,,,,,,,,46,1145,1012,334697,2157,334697,38,70,612ca5b87b9376480930f65112848c366a57d51e,0,0,0,0,0,
20201203,TN,388252,31704,4237409,,posNeg,4625661,2701,12410,653,,310,,347412,A+,12/3/2020 15:00,2020-12-03T15:00:00Z,12/03 10:00,4781,12410,2020-12-03T15:00:00Z,4593957,419448,4174509,356548,4359,422,,,,,,,,,,,332014,33028,47,3967,16305,4625661,20272,4625661,93,100,f101ae07c68d21e085db935b47a295340025dc52,0,0,0,0,0,
20201203,TX,1215113,,9802334,,posNeg,11017447,9151,,2623,,,,1003141,A,12/3/2020 18:25,2020-12-03T18:25:00Z,12/03 13:25,22000,,2020-12-03T18:25:00Z,11017447,,,1215113,,,,,578670,62140,,,,,,,686194,57330,48,14439,70462,11017447,84901,11017447,244,0,809b1288e43efdb1f19e665c4c50fbc6d15dd0dc,0,0,0,0,0,
20201203,UT,206165,,1155726,,totalTestsViral,1866057,609,8548,209,1517,,544,142939,A+,12/3/2020 10:12,2020-12-03T10:12:00Z,12/03 05:12,917,8548,2020-12-03T10:12:00Z,1866057,203728,1662329,188722,,,,1344448,,,,,,,110396,17761,246400,18473,49,3945,6604,1361891,17741,1361891,11,125,99be13f1ab48d5d34b9905ffa6ff00667cbf36ef,0,0,0,0,0,
20201203,VA,244503,28735,3145233,386,totalTestEncountersViral,3361001,1853,15014,411,,186,,24782,A+,12/2/2020 17:00,2020-12-02T17:00:00Z,12/02 12:00,4147,15014,2020-12-02T17:00:00Z,,255535,,215768,3798,349,3361001,,,,,,,,,,,,51,2023,8723,3390122,10105,3389736,34,131,3ad90cbd265855e894b1697b77eb0c48e99d6347,0,0,0,0,0,
20201203,VI,1589,,27420,81,posNeg,29009,,,,,,,1499,D,12/2/2020 20:38,2020-12-02T20:38:00Z,12/02 15:38,23,,2020-12-02T20:38:00Z,29090,,,,23,,,,,,,,,,,,,,78,26,173,29090,199,29009,0,0,3c7c5a57bee9ebaec7d182d13a43e74851cf4c72,0,0,0,0,0,
